episodes,tmax,goalcoords,rsz,rmax,seed,pcinit,bptype,npc,alpha,sigma,plr,clr,llr,alr,slr,gamma,nact,beta,balpha,paramsindex,noise,analysis,datadir,figdir,csvname,latencys,cumr,dx,delta_dxr
50000,100,[0.5],0.01,5,0,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.906573347057135,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25019652,0.25075756,0.25092116], [0.25206108,0.25192154,0.25138471,...,0.25780405,0.25669005,0.25535262]]","[-0.01174867, 0.03231732, 0.00438661]"
50000,100,[0.5],0.01,4,1,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,0.0309266404459303,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25028402,0.25084254,0.25100367], [0.25027087,0.25008233,0.24949536,...,0.26148008,0.26067544,0.25959999]]","[-0.01174867, 0.03372648, 0.00268426]"
50000,100,[0.5],0.1,4,2,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,9.096070948242925e-08,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00851511,-0.00850439]"
50000,100,[0.5],0.05,5,2,uni,both,4,0.5,0.05,0.01,0.01,0.0,0.0,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,4.9183778224539965e-06,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ]]","[-0.00238099,-0.00238099,-0.00238099]"
50000,100,[0.5],0.01,2,2,uni,both,4,0.5,0.05,0.01,0.01,0.0001,0.0001,0.0001,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,87,9.336800344394774,"[[0.25      ,0.24980008,0.24920128,...,0.24920128,0.24980008,0.25      ], [0.25      ,0.24980008,0.24920128,...,0.25061652,0.25116749,0.25132108], [0.2509711 ,0.25080068,0.25023244,...,0.26353208,0.26292052,0.26201153]]","[-0.01174867, 0.03395014,-0.0072472 ]"
50000,100,[0.5],0.1,4,1,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,5.286836414208167e-28,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00851511,-0.00850343]"
50000,100,[0.5],0.1,5,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,84,20.23675079092669,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00850929,-0.00850586]"
50000,100,[0.5],0.1,2,1,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,55,2.5272708556668295,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[0.00076232,0.00076237,0.00076254]"
50000,100,[0.5],0.1,2,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,6.62945436290195e-14,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[0.00076232,0.00076237,0.00076252]"
50000,100,[0.5],0.1,4,0,uni,both,4,0.5,0.025,0.01,0.01,0.0001,0.0001,0.0,0.9,2,1,0.0,[0],0.0,dx,./data/,./fig/,all,99,2.207828104291378e-30,"[[0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ], [0.25      ,0.24920128,0.24682039,...,0.24682039,0.24920128,0.25      ]]","[ 0.00076232,-0.00850931,-0.00849686]"
